iter	Passed	Remaining
680	1054	493
681	1055	492
682	1056	490
683	1057	488
684	1059	487
685	1060	485
686	1061	483
687	1062	481
688	1063	480
689	1064	478
690	1065	476
691	1067	474
692	1068	473
693	1069	471
694	1070	469
695	1072	468
696	1074	466
697	1075	465
698	1077	464
699	1079	462
700	1081	461
701	1082	459
702	1084	458
703	1085	456
704	1086	454
705	1088	453
706	1089	451
707	1090	449
708	1091	448
709	1092	446
710	1094	444
711	1095	443
712	1097	441
713	1098	439
714	1099	438
715	1101	436
716	1102	435
717	1103	433
718	1105	431
719	1106	430
720	1107	428
721	1108	426
722	1109	425
723	1110	423
724	1111	421
725	1112	420
726	1114	418
727	1115	416
728	1116	415
729	1117	413
730	1119	411
731	1120	410
732	1122	408
733	1123	407
734	1124	405
735	1126	403
736	1127	402
737	1128	400
738	1129	399
739	1131	397
740	1132	395
741	1134	394
742	1135	392
743	1137	391
744	1138	389
745	1140	388
746	1141	386
747	1143	385
748	1144	383
749	1146	382
750	1147	380
751	1148	378
752	1150	377
753	1151	375
754	1153	374
755	1155	372
756	1156	371
757	1158	369
758	1160	368
759	1161	366
760	1163	365
761	1165	363
762	1167	362
763	1168	361
764	1170	359
765	1172	358
766	1174	356
767	1176	355
768	1178	354
769	1180	352
770	1182	351
771	1184	349
772	1185	348
773	1187	346
774	1188	345
775	1190	343
776	1191	341
777	1193	340
778	1195	339
779	1196	337
780	1198	336
781	1200	334
782	1202	333
783	1204	331
784	1205	330
785	1207	328
786	1208	327
787	1209	325
788	1211	323
789	1212	322
790	1213	320
791	1215	319
792	1216	317
793	1218	316
794	1219	314
795	1221	312
796	1222	311
797	1223	309
798	1225	308
799	1226	306
800	1228	305
801	1229	303
802	1231	302
803	1233	300
804	1234	299
805	1236	297
806	1238	296
807	1240	294
808	1242	293
809	1244	291
810	1246	290
811	1248	289
812	1250	287
813	1252	286
814	1253	284
815	1255	283
816	1257	281
817	1258	280
818	1259	278
819	1260	276
820	1262	275
821	1263	273
822	1265	272
823	1266	270
824	1268	269
825	1270	267
826	1271	265
827	1272	264
828	1274	262
829	1275	261
830	1276	259
831	1278	258
832	1279	256
833	1280	254
834	1282	253
835	1283	251
836	1285	250
837	1286	248
838	1288	247
839	1290	245
840	1292	244
841	1293	242
842	1294	241
843	1296	239
844	1298	238
845	1299	236
846	1300	235
847	1302	233
848	1303	231
849	1304	230
850	1305	228
851	1307	227
852	1309	225
853	1311	224
854	1312	222
855	1314	221
856	1316	219
857	1318	218
858	1319	216
859	1321	215
860	1322	213
861	1323	211
862	1324	210
863	1326	208
864	1327	207
865	1329	205
866	1330	204
867	1332	202
868	1334	201
869	1335	199
870	1337	198
871	1339	196
872	1341	195
873	1343	193
874	1344	192
875	1345	190
876	1347	188
877	1348	187
878	1349	185
879	1351	184
880	1352	182
881	1353	181
882	1355	179
883	1357	178
884	1359	176
885	1360	175
886	1362	173
887	1364	172
888	1365	170
889	1367	168
890	1368	167
891	1370	165
892	1371	164
893	1372	162
894	1374	161
895	1376	159
896	1377	158
897	1379	156
898	1380	155
899	1382	153
900	1383	152
901	1385	150
902	1386	148
903	1387	147
904	1389	145
905	1390	144
906	1392	142
907	1393	141
908	1395	139
909	1396	138
910	1398	136
911	1399	135
912	1401	133
913	1402	131
914	1403	130
915	1405	128
916	1406	127
917	1408	125
918	1409	124
919	1411	122
920	1412	121
921	1413	119
922	1415	118
923	1416	116
924	1418	114
925	1419	113
926	1421	111
927	1423	110
928	1424	108
929	1426	107
930	1427	105
931	1428	104
932	1430	102
933	1431	101
934	1433	99
935	1434	98
936	1436	96
937	1438	95
938	1439	93
939	1441	91
940	1442	90
941	1444	88
942	1445	87
943	1447	85
944	1448	84
945	1450	82
946	1452	81
947	1453	79
948	1455	78
949	1456	76
950	1458	75
951	1459	73
952	1461	72
953	1463	70
954	1464	69
955	1466	67
956	1467	65
957	1469	64
958	1470	62
959	1472	61
960	1474	59
961	1475	58
962	1477	56
963	1479	55
964	1480	53
965	1482	52
966	1484	50
967	1485	49
968	1486	47
969	1488	46
970	1490	44
971	1491	42
972	1493	41
973	1494	39
974	1496	38
975	1498	36
976	1499	35
977	1501	33
978	1502	32
979	1504	30
980	1506	29
981	1507	27
982	1509	26
983	1510	24
984	1512	23
985	1514	21
986	1516	19
987	1517	18
988	1519	16
989	1521	15
990	1522	13
991	1524	12
992	1525	10
993	1527	9
994	1529	7
995	1530	6
996	1532	4
997	1533	3
998	1535	1
999	1537	0
